Symbol,Name,Market,Country,Exchange
196170.KQ,ALTEOGEN Inc.,KOSDAQ,KR,KRX
240810.KQ,"Wonik IPS Co., Ltd.",KOSDAQ,KR,KRX
035900.KQ,JYP Entertainment Corporation,KOSDAQ,KR,KRX
293490.KQ,Kakao Games Corp.,KOSDAQ,KR,KRX
067310.KQ,HANA Micron Inc.,KOSDAQ,KR,KRX
112040.KQ,"Wemade Co.,Ltd.",KOSDAQ,KR,KRX
263750.KQ,Pearl Abyss Corp.,KOSDAQ,KR,KRX
277810.KQ,"Rainbow Robotics Co.,Ltd.",KOSDAQ,KR,KRX
068760.KQ,"Celltrion Pharm, Inc.",KOSDAQ,KR,KRX
058470.KQ,LEENO Industrial Inc.,KOSDAQ,KR,KRX
095660.KQ,NEOWIZ,KOSDAQ,KR,KRX
053800.KQ,"AhnLab, Inc.",KOSDAQ,KR,KRX
225570.KQ,"Nat Games Co.,Ltd.",KOSDAQ,KR,KRX
357780.KQ,"Soulbrain Co., Ltd.",KOSDAQ,KR,KRX
131970.KQ,DOOSAN TESNA Inc.,KOSDAQ,KR,KRX
086520.KQ,"Ecopro Co., Ltd.",KOSDAQ,KR,KRX
078600.KQ,"Daejoo Electronic Materials Co., Ltd.",KOSDAQ,KR,KRX
206640.KQ,Boditech Med Inc.,KOSDAQ,KR,KRX
121600.KQ,"Advanced Nano Products Co., Ltd.",KOSDAQ,KR,KRX
064550.KQ,Bioneer Corporation,KOSDAQ,KR,KRX
039030.KQ,"EO Technics Co., Ltd.",KOSDAQ,KR,KRX
041510.KQ,"SM Entertainment Co., Ltd.",KOSDAQ,KR,KRX
060280.KQ,Curexo Inc.,KOSDAQ,KR,KRX
108860.KQ,Selvas AI Inc.,KOSDAQ,KR,KRX
348210.KQ,"NEXTIN, Inc.",KOSDAQ,KR,KRX
195940.KQ,HK inno.N Corporation,KOSDAQ,KR,KRX
137400.KQ,People & Technology Inc.,KOSDAQ,KR,KRX
101490.KQ,S&S Tech Corporation,KOSDAQ,KR,KRX
048410.KQ,"Hyundai Bioscience Co., Ltd.",KOSDAQ,KR,KRX
950130.KQ,"Access Bio, Inc.",KOSDAQ,KR,KRX
290650.KQ,"L&C BIO Co.,LTD",KOSDAQ,KR,KRX
140860.KQ,Park Systems Corp.,KOSDAQ,KR,KRX
